Fraction_1,Fraction_2,Unit,Benchmark,Compatibility,Relation_To_Half
1/9,3/7,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
1/8,3/7,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
1/8,4/9,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
1/7,3/8,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
1/6,2/7,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
1/5,3/8,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
1/5,7/8,Includes_Unit,Excludes_Benchmark,Compatible,Crosses
2/9,4/7,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
1/4,2/7,Includes_Unit,Includes_Benchmark,Compatible,Both_Below_Half
1/4,5/7,Includes_Unit,Includes_Benchmark,Compatible,Crosses
2/7,5/8,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
1/3,2/7,Includes_Unit,Includes_Benchmark,Misleading,Both_Below_Half
1/3,3/4,Includes_Unit,Both_Benchmark,Compatible,Crosses
3/8,2/7,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
2/5,5/9,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
3/7,2/9,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
3/7,5/9,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
4/9,1/7,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
4/9,2/3,Excludes_Unit,Includes_Benchmark,Misleading,Crosses
1/2,2/5,Includes_Unit,Includes_Benchmark,Misleading,Both_Half
1/2,2/3,Includes_Unit,Both_Benchmark,Compatible,Crosses
5/9,6/7,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
4/7,1/4,Includes_Unit,Includes_Benchmark,Compatible,Crosses
4/7,3/4,Excludes_Unit,Includes_Benchmark,Misleading,Both_Above_Half
3/5,2/9,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
3/5,5/8,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
5/8,1/9,Includes_Unit,Excludes_Benchmark,Compatible,Crosses
2/3,1/8,Includes_Unit,Includes_Benchmark,Compatible,Crosses
2/3,4/7,Excludes_Unit,Includes_Benchmark,Misleading,Both_Above_Half
5/7,4/9,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
5/7,7/8,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
7/9,1/3,Includes_Unit,Includes_Benchmark,Compatible,Crosses
4/5,1/9,Includes_Unit,Excludes_Benchmark,Compatible,Crosses
4/5,7/8,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
5/6,1/5,Includes_Unit,Excludes_Benchmark,Compatible,Crosses
5/6,7/9,Excludes_Unit,Excludes_Benchmark,Misleading,Both_Above_Half
6/7,2/5,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
6/7,3/5,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
8/9,2/5,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
8/9,3/4,Excludes_Unit,Includes_Benchmark,Compatible,Both_Above_Half
